author;text
Антон Feets;Красивая, шикарная сочная девушка. Одурманен её красотой полностью.
аноним;Благодарю! Буду рада новой встрече!
Аноним;Сосёт правда как пылесос кончал в рот ей!!спасибо приеду
аноним;"Приятно! &#128139;"
Аноним;Очень классная тетя!!!!!хуй заглатывает отлично!!!спасибо, приеду
Аноним;Очень красивая девочка как у ней с озвучкой?
Аноним;Ебал ее давно все прошло отлично, надо заехать будет, сосала хуй классно!
Аноним;Шикарная!!
Аноним;Задница хороша! Минет - супер! Рекомендую!
аноним;"Надеюсь Тебе все понравилось ;) &#128139;&#128139;&#128139;"
Mih;Анала нет?
аноним;"Очень мило &#128139;&#128139;&#128139;"
justalex77;"Восторг и восхищение! Все на высоте, очень искренне и страстно.
Хочу ещё! Обязательно вернусь! &#128536;"
Hrenn;"Посещал фею незадолго до НГ. Наводка точная, найти легко.
Встретила ласково, улыбчиво. Сразу предложила всё, что дОлжно. Спросила, что хотел бы (может что особенное), &quot;прогнала в душ&quot;, чтобы скорее начать.
Возбуждается неимоверно. Если это цифра, то Станиславский потерял Актрису Века, не иначе. Уверен, это реальные эмоции.
Выглядит отлично. Очень привлекательное лицо и отличное тело, вкупе с отдачей и такой искоркой в глазах, которая возбуждает почище многого, даят кучу положительных эмоций еще со старта. Ну а Ее оргазмы дарят часть удовлетворения (мне лично), остальное доделывает сумасшедшая Техника Языка (как в поцелуях, так и в МБР).
Легкий межпалочный &quot;массаж&quot; и продолжаем...
Любовь, ты умничка!"
аноним;"Спасибо большое)
Я очень рада, что Ты остался доволен ;)
&#128536;&#128536;&#128536;"
kaskad1988;Был у ДАМЫ с утра пораньше )) заряд бодрости на целый день) игривая кошка, с опытом и фантазией )
Аноним;Вышел, ноги трясутся, сердце навылет! Это просто бомба! Такой активности в сексе и в прилюдии я не получал давно!
Аноним;Очень понравилась. Сбитенькая такая, энергичная, сосет, целуется шикарно. Старается выжать все соки. Прекрасно!
Аноним;Вроде милая девушка, но нервы шалят. По разговору будто недавно с цепи спустили.
Doroga v AD;Это что-то с чем-то, она прекрасна спору нет. Да вот попасть к ней тяжело. Либо это персональный игнор. Хз короче, всем удачи!
GofridWak;Прекрасная девушка. Самая приятная и комфортная встреча в данной ценовой категории.
Doctorbilli;Был на днях у данной особы. Девушка милейшая, молоденькая, свеженькая. Все исполнила хорошо, приятно поболтали. С парковкой могут возникнуть некоторые проблемы.
Pioner868686;Не берет трубку, хрен знает чем занята.
DastishWow;Грустно и скучно
Аноним;Очень шикарная в постели
Rocs;Не понравилось как общаются по телефону (не знаю сама ли или диспетчер). На вопрос о ценах на доп. Услуги - сказала смотреть анкету там все указано, но я не вижу сумм... не поеду.
Аноним;Был как то. За анал сказала +5.
Resistor;Заранее созвонился, договорился по времени, приехал, указали подъезд и перестали брать трубку...
Охотник за оргазмами;Диспетчер неадекватна, не советую...
Аноним;"Отвечает оператор.
Персонаж если и был тем кто на фото, то лет 15 назад.
Страшно было оставаться.Ппццц... Ушёл"
Хронический недотрах;Очень интересно! Хочется непременно встретиться
lanselot;Оч клевая! Обожаю заезжать к ней! Не обижать девочку!
lanselot;У меня изменился телефон напиши плиз в личку)))
Аноним;Не понял, как она выбрита, если даже в анкете написано, что стрижка.
Realalex;Девушка выглядит отменно и мила в общении. Очумительный минет и приятные подмахи с озвучкой! После посещения у меня остались приятные ощущения.
Аноним;Красивая девушка!!
Don Maibax;"Салон полюбас, и данная фея постоянно занята или болеет(,&#129314;"
Angrydick;Такой нет. Не теряйте время
Аноним;"Очень приятная девушка очень нежный минет
Хорошая энергия,хочеться к ней всегда"
Аноним;"Очень приятная девушка, все на высшем уровне, в живую выглядит лучше чем на фото, приятная бархатистая кожа, всем советую не пожалеете&#128070;&#127998;"
Andrey112020;Был вчера. Договорились за час, встретила очень милая и приятная девушка. Прекрасно провели время, стойкое ощущение что побывал у давней любовницы. Цените и любите такую хорошую девушку.
Getza;Люблю тебя, ты самая прекрасная любовница!
Особа Особая;Да всю жизнь за 10 была
Norfolk;"Удивительная! Потрясающая!&#128153;"
Аноним;Отличная девушка. Провел время как с подругой которую знаю давно. Очень душевная. Секс на 5+ минет тоже. Не салон. Обязательно буду ещё. Спасибо за теплоту.
Аноним;Девушка отличная рекомендую
Аноним;Все было супер, девочка огонь, просто бомба рекомендую к посещению!
masters881;Не рекомендую
Potroshitel;Не советую. Внешность и фигура на редкого любителя. Просто развернулся и ушёл. Не тратьте своё время.
Baumgartner;Договорились о встрече, подхожу к подъезду не берет трубки, кидалово, не рекомендую!
Аноним;Отличная девушка, советую, загляну ещё)
Sliventi;Кидалово
Беньямино;Позвонил, договорился, доехал и не отвечают. Телефон выключили. Сами думайте ехать или нет.
Кот Василий;Мне очень понравилось, и поговорить есть о чем и секс супер, как нибудь заеду ещё
Аноним;Хорошая фея и с фигурой всё в порядке, а грудь просто сказка)). И поболтать можно и подержаться есть за что. Удачи тебе в твоей мечте)
f-x;Девочка супер. Отличная фигурка и бархатная кожа. Любит секс и знает, как доставить удовольствие) Подходит избирательно и индивидуально.
maxxx13;Не Вотсапп, не телеги, видимо как и всего остального
Аноним;Супер девушка!) Все на высшем уровне) А фигура просто шик! Сама красавица! Зарядила на все 100%
Oksymoron;Симпатичная, общительная девчонка! Худышка и стройняшка. Горячо почпокались! Зачооот!
moreman;Как она классно целуется…
Rabbit96;Был кто нибудь у данной феи?
Аноним;Девушка безумно красивая. По процессу все на высшем уровне, я в восторге, с нетерпением жду следующей встречи. Жаль не целуется.
Аноним;Спасибо за встречу. Девушка реальная фото реальные. По процессу хороша. Созвон моментальный на телефоне сама. Без ожидания не поток.
Аноним;Обалденная девушка!!!
CAHDPO;Потрясающая!!!!!!
GustavoMoscow;"Так и думал, очередная «обожательница анала»..
Спасибо за отзыв, убираю из отложенных"
новый гость;Анал супер, на всю длину,с любой скоростью.Окончание на лицо и в рот как в поно.Девочка молодец.
новый гость;Анилингус это отдельная тема.Так глубоко ещё мне не делал никто
Аноним;У меня аж 18см и анал прям драл ее, она тащиться от анала
Lost19;Сиси стали больше?
Feniks391;Был недавно, девочка супер, ртом работает хорошо, берет глубоко, попка узенькая, киска хорошая.
Почётный донор спермы РФ;Минет пупком, это что-то новое
cubalibre1;Кто хочет в порно - вам сюда. Есть те кто имитирует порно и выглядит это нелепо, а тут прям реально порно и нет ощущения наигранности. Минет - топчик, необычно и приятно. В сексе во всех позах хороша и отзывчива. Рекомендую
Plmnbvcxz;Здравствуйте, встреча на два часа анал включён?
Аноним;Такая она мокренькая!
аноним;"Спасибо большое &#128536;&#128536;"
аноним;"Спасибо большое. Мне тоже было очень приятно встретиться с вами. &#128536;"
аноним;"Спасибо &#128536;"
аноним;"Спасибо большое &#128536;"
трахер;Огонь Фотки огонь, аж хер вставать начинает глядя на эту красоту
аноним;"Спасибочки &#128536;"
Libertion;Превосходный сервис, время засекает не строго. Жаль классику не осилил, чтобы оценить полностью.
Mikkka;Отличная фея! Прекрасное послевкусие даже спустя год.
Vitality;"Осторожно, вызывает сильную зависимость.
Меня хватило на 1 сутки без компании этой красавицы.
Королевский минет в сочетании с ее сексуальной энергетикой — это лучший рецепт для идеального вечера."
Olegkil;Такой потрясающей ночи у меня ещё не было. Девушка - огонь! Сексуальная, красавица, минет просто королевский. Выше всяких похвал!
Neira rublik;"Топовая девушка. Пр процессу очень инициативная. Общается как будто знает сто лет. Обязательно ещё к тебе загляну!&#10084;"
Аноним;Отстрапонила так классно, едва не кончил от удовольствия!
Merikara;"Был давненько уже , все было вери гуд&#128076;"
Arfey;Редко возвращаюсь, но к данной особе думаю заеду ещё ! Всё понравилось !
barcelona91;Заезжал на днях, все очень достойно, дама с опытом и придраться не к чему ,понравилось!
Alexs1833;Был сегодня. Все просто супер.Загляну как нибудь ещё.
hervrot;Заезжал пару месяцев назад. минет делает замечательно, в классике тоже все понравилось.
bendgois52;Кто посещал данную фею-отпишитесь? Салон или нет?
Kissinner;Охренеть я такой писи в жизни не видел - шов начинается прямо из анала! Круто блин!
stranik471;Красавица и умница, был несколько раз и еще пойду.
lubitel zadnic;Посетил сию мадам! Шикарно! И тело и секс! А в попу просто чудо!!!!!
Jack315;Все супер. После хорошего секса так душевно побоседовали про Абхазию
alik4kopyan;Девушку точно рекомендую к посещению.Все на высшем уровне. Обожает секс. Породистая девочка, знающая себе цену. Спасибо дорогая, я оценил. До встречи
ZMEI85;Нежнейшая, красивая и грациозная кошечка, фигура - песочные часы, кожа как у младенца, очень обходительна, задорно смеётся и постанывает во время процесса, возбуждая ещё больше! Одна из лучших в своём ремесле, хорошо чувствует партнера, чем очень располагает к себе.
Brazzers77;"Охренительная мадам &#10084;Е*** ее одно удовольствие )) сосет и заводит на второй заход без лишних слов ) думаю если все совпадёт - тебе понравится!
Позы меняет сама по желанию и это без лишних слов, как с любовницей )
Да она охрененная!!"
Elea;Веселая, позитивная, сочная, уже скучаю
Аноним;На телефон не отвечает, в мессенджере игнор. Причина неизвестна...просто так
kass;Девушка неимоверной красоты и сексуальности. Игривая с порога и не отпускает до самого конца. Сервис отличный, всё на высшем уровне
GhostFceGuy;Тюнингованная? Засечка по времени? Лифт работает в подъезде?
Особа Особая;А почему трубки не берет?
Марк1010;"Внимание: Одна из лучших!
Плохие фотки: Девушка намного красивее! Едва несколько слов презентации и очень быстро страстные поцелуи - с языком конечно! Девушка очень хорошо реагирует на ласки и сама очень активна. 100% аналог :) Куни на ура и МБР за 5+! Так хорошо, что я закончил ))) Несколько минут расслабления, душа и... снова горячие поцелуи и супер МБР! Но этот раз не хотел так кончать! Преза и... различные позиции до конца, вместе. Не так часто я могу 2 раза в час, а с Полиной это пришло естественно))) Точно снова встретимся!"
Марк1010;Снова сегодня, снова 5* )))
Аноним;Высокая стройная. В сексе просто огонь. Жаль чулки не одела. Зайду ещё
Schmiermittel;Прекрасная девушка, люблю кончать ей в рот.
Аноним;Спасибо, очень приятно )
Папай;"Всем добра.
Побывал. В принципе не плохо. На раз Ок. Ну,а что, кто хотел за такой ценник большего?
Хотя бывает, не спорю."
Аноним;Спасибо, жду с удовольствием снова увидеться)
shtutov;"Был вчера, ехал мимо. Всё хорошо!
Теперь поеду специально!"
Аноним;Не девушка, а королева просто. Позвонил утром, приняла, обласкала, отдалась мне. Очень вежливая и милая. Буду ездить теперь только к ней. Советую заехать к ней перед работой, настроение поднимется на весь день)
Parnysha;Все супер, сервис на пятерочку, сама девушка очень миленькая, попка-ягодка =) Еще загляну
belov83;Учитывая цену все хорошо. На фото она.
Larkhan;Все норм за эту цену. Только контакт 1 в час
Аноним;Восхитительная
Аноним;Вызвал, приехала девушка. С лицом беда. Явно с опытом наркоты
ogurcheg;И я не смог. В ответ на неотвеченный звонок пришло предложение встретиться с её подругой. Оригинально.
ogurcheg;С ростом ничего не напутали? Судя по фото несколько ниже.
ПиRат;Бываю в данном месте не редко. Попробывал вме что движется))) ника была в отложенных очень долго, часто занята, поэтому удалось попасть только сейчас. На фото скажу гламур 1000%, в жизни простая девушка, очень приятная. Сразу и не понял что передо мной она. Тапки, полотенце, чай и душ- сервис здесь всегда был на высоте. По процессу получает удовольствие. Классика, куни вме на отлично. МБР на 4ку, не ее видимо дисциплина. А так все понравилось, вот только фото ну очень загламурены))
Dobry_Chelovek;Отличная сексуальная фигура, обаятельная и веселая, легкая в общении, секс любит.
Dimich01;Прекрасная молодая дева. Почему-то старается заболтать и немного тянет время, чтобы предотвратить второй заход. При вашей настойчивости на второй заход лежит бревном. Впечатление противоречивое.
Andrey161070;Лучший рот, в котором я побывал за последнее время!!!
Reargent;Выше всяких похвал.
Tau;Чудо-девочка. Любит и умеет доставлять удовольствие, делает все искренне и на высшем уровне. Крайне приятная и доброжелательная в общении. Самые позитивные эмоции после встречи) Удачи тебе!
putnik777;Стал постоянным клиентом данной рабыни, свою роль отрабатывает на отлично. Анкета соответствует заявленному. Выполняет все желания молча и с удовольствием. Буду периодически посещать данную девочку, хотя обычно повторно не хожу) Спасибо, сладкая)
GustavoMoscow;Сколько не звонил, к сожалению не дозвонился ни разу
аноним;"И на том спасибо&#128524;"
Аноним;"Хорошенькая, доводит до оргазма, нежная, массаж хороший делает, по ходу массажистка&#127801;&#127801;&#127801;&#128536;"
Тот самый Док;Девушка очень востребованная с таким прайс листом, как я понимаю. Договориться на утро следующего дня невозможно. Сама не знает точно, что будет в это время. Везет же кому-то...Но не мне(((
Аноним;Был пару месяцев назад, очень тёплая и ласковая дама, и поговорили, как со старой знакомой, и в постели огонь, очень старается. Спасибо за чудесный вечер. Вежливый.
Poet;"Ну, наконец то посетил,
Желанье удовлетворил.
Походом я вполне доволен,
Мой темперамент успокоен."
аноним;"Спасибо! Было очень приятно &#128536;"
Juve;Девушка прекрасная, секс как с подругой
Mono;"&#128139; Моя сладкая ягодка &#128139;"
Mono;Выглядит потрясающе!!! Девушка мечта!! Увлёкся наслаждаясь ею, что даже забыл про себя!!! Придётся вернуться ))
damagedealer;Приятная и общительная девушка, встречей более чем доволен.
Don Huse Carlos Rodriges;Позвонил вчера с желанием встретиться. Девушка сказала, что перезвонит, т.к. провожает клиента. В общем, видимо клиент до сих пор не ушел.
муж на час;Полностью в моём вкусе- фигура и характер, посему отзывы самые восторженные. Но, все мы с вами такие разные, не правда, ли, друзья!
Аноним;Шикарная девушка! Обязательно попрошусь в гости.
lis1985;Кто-нибудь был?
Victor14;Потрясающая девушка, милая и нежная, время пролетает нереально быстро. Все услуги на высоком уровне, соответствие фотографий стопроцентное. Любит секс и любит доставлять удовольствие своему партнеру. Очень отзывчива на ласку, вкусная и сладкая везде, течёт прям как Восемнадцатилетняя. Ну а самое главное, что уходишь в приподнятом настроение. Обязательно ещё вернусь.
Аноним;Был у данной феи все супер, всё как и написано.
аноним;Надо было с цветами приезжать?!
аноним;Секс - это не только удовольствие, но и здоровье
аноним;"Секс полезен для здоровья, продлевает нашу жизнь и делает нас счастливее. Секс тренирует тело и поддерживает бодрость духа. Секс оберегает от депрессий&#9757;&#65039;Особенно когда, анал королевский!!!!"
brod9ga;"Очень хорошая. Фотки 1 в 1.
Милая, располагающая, инициативная."
Аноним;"Одна из лучших на сайте, знаю её уже давно но долго.
Встречи всегда на высшем уровне.
С наступающим)))
Надеюсь успею ещё в этом году посетить))))"
Аноним;Классные ножки
sorky;Фото лет сто уже
Карлсончик;Приятная девушка :)
BalloonLove;"Чудесная девушка! Очень нежно и чувственно!
Поддержит любую фантазию! Все ярко, незабываемо и очень душевно :)"
Аноним;Какая красивая
