key;value
Услуги семейной паре;Полностью удовлетворю вас двоих!
Профессиональный;От головы до кончиков пальцев ног + 500 р
Анилингус;1500
Секс классический;Трахни меня, как пожелаешь. Я люблю по разному
Анальный секс;Обожаю! Очень узенько, размер не имеет значение
Секс лесбийский;Самое откровенное лесби шоу! Приходи с подружкой или могу пригласить свою)
Минет без резинки;Буду сосать долго и страстно, а потом ты обкончаешь мне весь ротик!
Куннилингус;Получаю нереальное удовольствие со знающим дело любовником
Окончание на грудь;Можно кончить и на попу! Сзади вид роскошный!)
Окончание в рот;Как в порно...
Урологический массаж;Соблазню тебя нежно, или изнасилую.
Страпон;ЧЛЕН на трусиках разные размеры) тебе понравиться!
Анилингус;Вам понравится мой нежный и влажный язычок!)
Анилингус;Ооо, да! Это божественно, когда твой горячий язычок ласкает мою сладкую попку
Золотой дождь;Напою золотистым шампанским из своей нежной возбужденной киски, заставлю выпить всё без остатка
Фингеринг;Мммм, очень люблю, когда меня партнер доводит до оргазма своими пальчиками)
Госпожа;Переодену тебя в свою подружку шлюшку и воплощение свои фантазии...
Фетиш;Высокие шпильки, французское белье и чулки, а также всегда красивый педикюр
Анальный секс;От1000(Предупреждайте пожалуйста заранее)
Целуюсь;(при взаимной симпатии)
Окончание в рот;+500(право выбора оставляю за собой)
Ролевые игры;1000
Фото/видео съемка;(по договоренности)
Лесби-шоу;1000
Анилингус;+1000(право выбора оставляю за собой)
Порка;500
Секс лесбийский;Доп
Лесби откровенное;Доп
Лесби-шоу;Доп
Страпон;Доп
Легкая доминация;Доп
Окончание в рот;2000
Секс классический;Очень люблю страстный секс
Куннилингус;Мммм обожаю
Боди массаж;Расслаблю после тяжелого дня
Минет без резинки;+ 2000 только ухоженным и чистоплотным
Окончание в рот;Входит в мбр
Эскорт;Обговаривается отдельно
Секс классический;СКВИРТУЮ!
Анальный секс;Предупреждай по телефону
Секс групповой;Любые комбинации, оплата с каждого участника
Секс лесбийский;Искренне люблю девушек! С моей или твоей подругой.
Услуги семейной паре;Бисексуальна, доставлю незабываемое удовольствие тебе и твоей подруге! Двойная оплата.
Минет в презервативе;Люблю сосать! Реально завожусь от минета!
Минет без резинки;Жадный отсос с сочным окончанием на мои шикарные сиськи
Минет глубокий;По самые помидоры!
Куннилингус;Обожаю! Ты захлебнёшься моей кончой)
Игрушки;Покажу тебе, как я ласкаю себя вибратором
Окончание на грудь;И tittyfucking
Урологический массаж;Вместе с минетиком для усиления ощущений или как разработка перед страпоном
Ролевые игры;Артистична и раскована до вопиющего неприличия!
Эскорт;Обсуждается
Виртуальный секс;Мастурбация игрушками до сквирта онлайн. Обкончаешься!
Cекс по телефону;Любые темы
Стриптиз;Я мастер соблазнения и провокации!
Лесби откровенное;Приглашу красавицу - подругу
Лесби-шоу;Лайт - это скучно! Я люблю порно!
Страпон;О такой программе предупреждай по телефону
Анилингус;+5000, при условии твоей чистоплотности
Анилингус;Обожаю ласки своей розочки
Золотой дождь;Ниагара! Предупреждать по телефону
Фистинг анальный;О такой программе предупреждай по телефону
Легкая доминация;Моральные унижения, фейсситтинг, плевки, пощечины
Порка;О такой программе предупреждай по телефону
Клизма;Подготовлю твою дырочку к приключениям)
Фетиш;Всегда ухоженные ножки, свежий педикюр
Игры;Со мной ты сможешь воплотить самые смелые фантазии
Окончание в рот;500
Страпон;Если принесёте свой...
Лесби откровенное;2000
Лесби-шоу;1500
Секс классический;Очень люблю эксперименты )
Анальный секс;Моя попочка будет в восторге,когда ты задёшь в неё
Минет в презервативе;Делаю это очень игриво и с большим удовольствием
Минет без резинки;Со слюньками
Куннилингус;Очень люблю и очень возбуждает)
Окончание на грудь;Попробуй секс между сисичек с окончанием
Расслабляющий массаж;Расслаблю после тяжелого трудового дня )
Стриптиз;Станцую для тебя)
Анилингус;Ммм, после вставь!)
Секс групповой;ЖМЖ, МЖМ
Окончание в рот;1000
Анальный секс;1500
Секс классический;+3000 одно окончание
Куннилингус;Сяду тебе на лицо и заставлю долго вылизывать мою писечку))
Игрушки;Разные размеры
Виртуальный секс;1000 руб. , фото и видео,зд, Копро, доминация, принуждение, переписка))
Cекс по телефону;500на самые грязные темы...
Страпон;Факомат
Золотой дождь;Вышлю видео 1000
Копро;Вышлю видео 1000
Фистинг анальный;Рука,нога))
Услуги семейной паре;Двойная оплата
Рабыня;Есть приходящая
Игрушки;Только со своими
Окончание в рот;+500 при мбр
Секс классический;Во всех позах
Секс групповой;МЖМ, Для Тебя и Твоего друга УДИВЛЮ ОБОИХ )
Минет в презервативе;Лучше Без )
Минет без резинки;Самый незабываемый)
Минет глубокий;Полное погружение со слюньками
Куннилингус;Обожаю, возможен сквирт
Окончание на грудь;О-да это великолепно
Окончание в рот;Сладко, Сладко
Страпон;Надеру твой зад
Анальный секс;Размер имеет значения
Окончание на лицо;Доп
Окончание в рот;Доп
Ролевые игры;Уточняйте по тел
Анилингус;Доп
Анилингус;Доп
Золотой дождь;Доп
Секс классический;Рабыни модельной внешности с узкими и желанными дырочками...
Анальный секс;Мои рабыньки готовы подставить свои отверстия под твой горячий хуй...
Секс групповой;Доп. Обожаю много людей,желающих разврата!!!
Секс лесбийский;Доп.С моей куколкой зажгём,а ты будешь кончать непрерывно и много раз подряд...
Услуги семейной паре;Доп.Позову Актива с Хуем 20х7! Фото в Анкете!
Минет в презервативе;Само собой от моих рабынек...
Минет без резинки;Мои рабыни обожают вкусные члены.
Минет глубокий;Ева заглатывает по гландышки и держит тебя за булки ,что бы ты пихал сильнее свой хуй.
Куннилингус;Доп.Очень вкусная и сочная дырочка.Кончаю бурно,сквиртую!
Игрушки;Огромный выбор,от мало до велика...
Окончание на грудь;Сиси 4 размера не оставят тебя равнодушным! Будешь кончать как с пулемёта!...
Окончание на лицо;Анюта обожает стекающиеся сперму к ротику...
Окончание в рот;Настенька очень любит вкусную сперму и глотает  с у довольствием своим ротиком ...
Боди массаж;Присутствует профессиональный массажный стол...
Профессиональный;Есть большой опыт у моей рабыни...
Расслабляющий массаж;С маслами и разными ароматерапиями.
Урологический массаж;Профессионально.
Эротический;С моими Рабынями!
Ролевые игры;По предварительной обговорённости или на месте(Любая игра+импровизация на мой вкус!)...
Фото/видео съемка;Доп.По договорённости,без моего лица...
Эскорт;Заинтересуй....)
Виртуальный секс;Конечно есть!)Много разных видео на любой вкус!!!)
Cекс по телефону;3000 р,пока не кончишь...
Стриптиз;Сашенька профессиональная стриптезёрша...
Стриптиз;Как пожелаешь...
Лесби откровенное;Подружки настоящие бишки,желающие лизать мою сладкую дырочку...
Лесби-шоу;Устроим фиеричный концерт по твоему заказу!...
Страпон;Любых размеров и с любой интенсивностью!
Анилингус;Мои девочки любят лизать мужские дырочки...
Анилингус;Доп.Очень сладенькая попочка и вкусненькая.Мммммм....
Золотой дождь;С удовольствием! Обильно или порционно -на любые части тела и т.д
Золотой дождь;С рабынями! Куда пожелаешь...
Фистинг анальный;Профессионально...От 4 пальчиков и по самые не балуй!!!
Фистинг анальный;С рабыней,практикует и полюбляет давать ...
Фистинг классический;По максимуму!!! Сунешь в Винеточку всю кисть и погреешься в тёплой пизде,она сквиртует от этого....
Фингеринг;Легко с Рабыньками модельной внешности....
Госпожа;Опыт более 13 лет! Исскушённая!
Легкая доминация;Возможна над моими рабынями,с разной интенсивностью...
Рабыня;Огромный выбор,все девочки модельной внешности...
Легкое подчинение;Мои девочки будут вести себя послушно и делать ,то что я им прикажу!...
Бандаж;Большой выбор верёвок,также смирительная рубашка и многое другое...
Порка;От следов до рассечения!Любыми ударными предметами! На твой выбор...
Клизма;Вольём тебе что пожелаешь и не только...Всегда в наличии микролакс и т.д
Фетиш;Большой выбор платьев,обуви на высоком каблуке и многое другое для тебя!...)
Трамплинг;Обожаю это делать,особенно по яичкам и члену...
Игры;Устрою тебе любую развлекуху!!!
Секс лесбийский;Доп.С моей куколкой зажгём,а ты будешь кончать непрерывно и много раз подряд...
Cекс по телефону;3000 р, 15-20 минут.
Фетиш;Большой выбор платьев,обуви на высоком каблуке и многое другое для тебя!...)
Услуги семейной паре;Доп.Позову Актива с Хуем 20х7! Фото в Анкете!
Анальный секс;Дог
Секс групповой;Дог
Минет без резинки;Дог
Минет глубокий;Дог
Куннилингус;Дог
Окончание в рот;Дог
Анилингус;Дог
Услуги семейной паре;Принимаю с кем-то из моего гарема
Игрушки;Много
Виртуальный секс;-ПЕРЕПИСКА ВАТСАП-300030 мин... с фото студии, девайсов, мои в латексе и др нарядах(любой образ Госпожи, присылайте скриншот фото...) -ОБЩЕНИЕ ПО ТЕЛ В ФОРМАТЕ СЕССИИ-300030мин (бархатное доминирование сладким голосом, жесткий чмор, моральный пресинг
Копро;От 20000
Секс классический;Почувствуй мою любовь.
Секс лесбийский;Люблю развращать женские тела.
Минет без резинки;Заботы ради!
Минет глубокий;Лысый из Brazzers одобряет!
Куннилингус;Люблю погружаться в суть удовольствия.
Игрушки;Готовность номер один!
Окончание на лицо;Вожделею!
Боди массаж;Профилактический!
Расслабляющий массаж;Предоставлю Вашему телу все свои знания и умения.
Урологический массаж;Приятное начало перед осуществлением полового акта.
Эротический;Будоражащий!
Ролевые игры;Покувыркаемся!
Лесби откровенное;Душевное!
Золотой дождь;Держу только ради тебя!
Фистинг классический;Ласковыми пальчиками.
Легкая доминация;Здесь и сейчас и никак иначе!
Легкое подчинение;Иначе только здесь и сейчас!
Порка;Меня слегка, тебя сполна!
Фетиш;Всегда в моде!
Трамплинг;Буду сотрясать твою плоть!
Игры;Помурлыкаем.
Окончание на лицо;1000
Фото/видео съемка;1000
Золотой дождь;+1000 на ножки.
Анальный секс;Not for big cocks +3000
Секс групповой;In safe environment
Минет без резинки;At my discretion
Минет глубокий;Not rough in short sessions
Окончание в рот;At my discretion
Фото/видео съемка;Strip tease. porno with face covered
Виртуальный секс;Фото, видео, video call fotos videos
Cекс по телефону;Video call possible 1000
Фистинг анальный;Discussed beforehand
Фистинг классический;Toys
Бандаж;30
Порка;30
Фетиш;My legs are beautiful
Анальный секс;+1000, размер имеет значение
Минет в презервативе;Включен
Минет без резинки;Включен
Минет глубокий;Включен
Минет в машине;1500 (у меня дома)
Куннилингус;Включен
Окончание на грудь;Включено
Окончание на лицо;Включено
Окончание в рот;Включено
Урологический массаж;500
Фото/видео съемка;2000
Анилингус;Включен
Фистинг классический;+1000 Вся кисть входит!!!
Фингеринг;Включен
Игрушки;Толстые и тонкие,большие и маленькие, красненькие и сининькие , вибрирующие....
Урологический массаж;Это как сказка на ночь-мир открывается с другой стороны
Ролевые игры;Диалоги, ситуации,положения и яркий финал.
Фото/видео съемка;Договорня
Эскорт;Договорная
Виртуальный секс;БДСМ сессия
Cекс по телефону;БДСМ сессия
Страпон;Экстрим?- но некоторые любят погорячее!
Золотой дождь;Ракурсы бывают очень сочными
Копро;Читайте текст ,резюмируйте
Фистинг анальный;С нуля и до результата
Госпожа;Доминатрикс
Легкая доминация;Уровни лёгкости субъективны,поэтому будем активно их обсуждать
Бандаж;Для остроты ощущений
Порка;От нежных шлепков до других сильно приятных прикосновений.
Клизма;Необходима
Фетиш;Эстетика фетиша не поддаётся объективному анализу , а только субъективному влечению
Трамплинг;Почувствовать давление и вес в обуви и без
Игры;Если тело-оркестр, то можно выделить и отдельные партии с собственной партитурой
Секс классический;По большой симпатии и настроению
Услуги семейной паре;Двойной тариф! Пару МЖ приму только если М у меня уже хотя бы один раз был.
Игрушки;В меня и в вас возможно.
Профессиональный;Массаж всего тела, оздоровительный и расслабляющий, есть массажный стол
Расслабляющий массаж;Расслаблю по полной)
Урологический массаж;Профессионально!
Ролевые игры;Я буду твоей учительницей, развратной медсестрой, твоей начальницей, строгой мамочкой, ну или Госпожой. а ты будешь моим пажом, рабом или моей послушной девочкой ( женская одежда и обувь много размеров)
Фото/видео съемка;+1000 съёмка только на вашу аппаратуру!
Лесби откровенное;Доп+4000р.приглашу подругу, звоните за два часа-ей до меня еще ехать)
Анилингус;Заставлю тебя лизать мою попку!
Фистинг анальный;ПрофессиАнально! есть проф.смазки J-LUBE и т.д.
Фингеринг;Вам-несколько моих нежных пальчиков в твою мокрую дырочку) включено в сумму часа.
Рабыня;Доп+5000р. молодая симпатичная в Теме, лесбис со мной и прочие игры без жести возможны с ней. В любой день за два часа звоните и она приедет ко мне для наших с вами утех)
Порка;Могу и умею по разному от лайт до сильной, но без следов!
Клизма;Прочищу твой дымоход!) и трахну от души!)
Фетиш;Футфетиш-размер ножки 36!
Игры;Воплощу любую твою фантазию!)
Анальный секс;2000р
Секс групповой;По договоренности
Секс лесбийский;2000р
Услуги семейной паре;По договоренности
Страпон;1000р
Минет в презервативе;Глубокий
Куннилингус;Обожаю входит в программку
Игрушки;+500большой выбор
Страпон;Люблю страпонить мужские попки
Фистинг анальный;500
Легкая доминация;500
Клизма;500
Анилингус;500
Минет без резинки;В 5т входят все ОСНОВНЫЕ услуги + 1 ДОП на выбор МБР окончание в рот окончание на лицо ануслинг. Остальные доп услуги по 1000р.
Минет глубокий;На сколько-зависит от размера
Куннилингус;Обожаю...
Игрушки;Есть (в т.ч. и страпон)
Окончание на грудь;И на мою пышную  попу, и на ножки!
Окончание на лицо;В 5т входят все ОСНОВНЫЕ услуги + 1 ДОП на выбор МБР окончание в рот окончание на лицо ануслинг. Остальные доп услуги по 1000р.
Окончание в рот;В 5т входят все ОСНОВНЫЕ услуги + 1 ДОП на выбор МБР окончание в рот окончание на лицо ануслинг. Остальные доп услуги по 1000р.
Боди массаж;Ручки довольно сильные. Прощупаю и разомну все Ваши жилки и косточки. В т.ч.попа+ноги+ступни
Профессиональный;Полупроф. Минут 20
Расслабляющий массаж;С маслом или без, на Ваше усмотрение
Урологический массаж;Если мои длинные острые ноготки не будут помехой
Эротический;Потрусь об Вас телом...Муррр
Эскорт;Возможен выезд в др.город
Виртуальный секс;По Whatsapp +79998069527, любые темы. Без фото и видео.  15мин 1000р. На карту Сбера
Стриптиз;Если Вы располагаете к себе,без принуждения и напряжения
Страпон;И игрушки. Есть новые!
Анилингус;В 5т входят все ОСНОВНЫЕ услуги + 1 ДОП на выбор МБР окончание в рот окончание на лицо ануслинг. Остальные доп услуги по 1000р.
Золотой дождь;+2000. Только на мои ножки.
Фистинг классический;Фингеринг (только 1 пальчик.
Фингеринг;1-2 пальчика
Госпожа;Soft
Легкое подчинение;Доп
Бандаж;Вам-любой, мне- soft
Фетиш;Моих ножек (в туфлях и без, в чулках и без)
Игры;Даю согласие только при личной встрече.
Секс классический;Любые позы
Минет в презервативе;Включено
Минет без резинки;Обсуждается исключительно при встрече)
Куннилингус;Оставляю за собой право отказать в услуге
Окончание в рот;На моё усмотрение.
Анилингус;#ИМЯ?
Анилингус;Можешь пошалить!)
Золотой дождь;Заранее обговаривается
Золотой дождь;Только  на  тело
Минет в презервативе;+2000 в конце массажа
Минет без резинки;+2000 в конце массажа
Профессиональный;Медицинский
Расслабляющий массаж;Спа релакс
Анальный секс;+1500р Люблю)))
Секс групповой;Возможен,если Заинтересуюсь
Минет в презервативе;Люблю минет, а ГЛАВНОЕ УМЕЮ!!!
Минет без резинки;+1500т делаю если Вы чистоплотный!ХЛОЛГЕКСИДИН В НАЛИЧИИ!!
Минет глубокий;Грубый(доп) +2т
Игрушки;Имеются)
Окончание в рот;Доп индивидуально
Ролевые игры;Большой опыт
Cекс по телефону;500
Страпон;+1т вам (Есть в наличии. Можно ваш)
Анилингус;+3т делаю если Вы чистоплотный!на моё усмотрение
Золотой дождь;+1т
Фистинг анальный;+1500р
Фистинг анальный;Один -два пальчика,ПЕРЕД АНАЛЬНЫМ СЕКСОМ!
Услуги семейной паре;Беру на обучение пары .Сумма взноса от 30т.
Игрушки;Огромный выбор игрушек от 6 до 75см
Урологический массаж;Рукой,игрушками
Эскорт;Ресторан,публичное место,поездки в другой город,другую страну , сопровождение соответственно статусу.
Страпон;Разные насадки,есть введение для новичков
Золотой дождь;Только из тары,приготовленный до сессии.
Фистинг анальный;Клизма,смазка,перчатки,попперс,гинекологическое кресло.
Легкая доминация;Программы лайт для новичков
Бандаж;Верёвки,кандалы , фиксация в неудобном положении
Порка;Разных частей тела ранообразными девайсами
Фетиш;Ножки ,чулки,колготки,нижнее бельё,одежда и другое
Трамплинг;Со следами и без
Урологический массаж;+1000 грамотно)
Эскорт;По договоренности)
Страпон;+2000 с душою!
Куннилингус;Обожаю
Cекс по телефону;10 минут 300руб на любые темы
Секс групповой;Прайс на два умножаем
Секс лесбийский;8000
Услуги семейной паре;5000 час..
Минет в презервативе;Без доплат
Минет без резинки;Без доплаты
Минет глубокий;Без доплаты
Минет в машине;Без доплаты
Куннилингус;Без доплаты
Игрушки;Любых размеров и цветовой гаммы...без доплаты
Окончание на грудь;Без доплаты
Окончание на лицо;Без доплаты
Окончание в рот;Я попробую вкус,твоей спермы..
Боди массаж;Есть массажный стол
Урологический массаж;Профессионально
Эротический;Массаж лингама
Ролевые игры;Большие фантазии..
Фото/видео съемка;Договоримся
Эскорт;Есть шенген
Виртуальный секс;1000 10 минут ПО КАМЕРЕ
Cекс по телефону;500 10 минут
Страпон;Без доплаты и с удовольствием..
Анилингус;Входит в доминацию
Золотой дождь;Без доплаты
Золотой дождь;1000 только на тело
Копро;10000 только с утра
Фингеринг;500
Госпожа;Я могу быть ласковой,а могу быть и строгой..
Легкая доминация;Без доплаты
Рабыня;Pony play мужчина верхом.
Легкое подчинение;Жёсткий минет 1000
Порка;Без доплаты...как часть воспитательного процесса! Не только  лайт-программа!
Клизма;500
Фетиш;Любой...чулки..трусики..бельё..платья..
Трамплинг;Без доплат
Игры;Без доплаты
Анальный секс;1000(зависит от размера)
Секс лесбийский;6000
Игрушки;Для меня ,для вас
Урологический массаж;Пальцы.либо вибратор
Эротический;Грудью,языком
Ролевые игры;Сценарий ваш
Фото/видео съемка;Без лица +1000
Стриптиз;Пип-шоу с игрушками
Лесби откровенное;6000
Страпон;Есть  небольшие игрушки для начинающих
Золотой дождь;2000
Фистинг классический;До 3 пальцев
Порка;Вам
Секс групповой;4000
Секс лесбийский;4000
Услуги семейной паре;+4000Выезд только в гостиницу
Минет без резинки;2000
Фото/видео съемка;4000
Лесби откровенное;4000
Лесби-шоу;4000
Копро;2000
Фистинг классический;3000
Секс групповой;Час с одним,час с другим
Секс классический;Люблю нежно в разных позах
Минет в презервативе;С окрестностями
Минет без резинки;+1500 даю согласие только после визуального знакомства с вашим красавцем.
Минет глубокий;Стараюсь как могу
Куннилингус;Кончаю от умелого язычка
Окончание в рот;Только при мбр
Расслабляющий массаж;Любительский уровень
Урологический массаж;+1000  нежно войду пальчиком в твою попку.
Фото/видео съемка;На телефончик фото киски на память
Анилингус;+1500 Очень чистоплотным!!!(на моё усмотрение)
Секс групповой;ЖМЖ есть подружка
Секс лесбийский;С подружкой
Анальный секс;Доп.+2000
Окончание на лицо;Вкл. с МБР
Окончание в рот;Вкл. с МБР
Фистинг классический;Не на полную кисть(до 4-х пальчиков) обожаю
Легкая доминация;Обсуждаемая услуга
Услуги семейной паре;От 30т.
Игрушки;Для Вас ,  есть из чего выбрать
Урологический массаж;Принудительно или возможно ласково
Эскорт;Скрытая публичность, ты по-прежнему в роли раба, но об этом знаем только мы
Страпон;Есть введение для новичков , размеры от очень маленького до очень большого
